framenum	queue density		dynamic density
725		0.711242		0.0177103
726		0.711394		0.0256388
727		0.711352		0.016454
728		0.711699		0.0185882
729		0.71196		0.0126185
730		0.712475		0.00486946
731		0.71276		0.0138163
732		0.713587		0.00388621
733		0.714547		0.00197822
734		0.71461		0.0128136
735		0.715605		0.00120956
736		0.71578		0.00463145
737		0.716611		0.00660577
738		0.717341		0.00359357
739		0.717926		0.0038667
740		0.718355		0.00611414
741		0.718909		0.000585272
742		0.720993		0.000374574
743		0.721262		0.000542352
744		0.721223		0.00764756
745		0.729725		0.00208357
746		0.73136		0.00363259
747		0.732195		0.00113153
748		0.734372		0.00195481
749		0.736862		0.00133052
750		0.737267		0.000249716
751		0.740877		0.00286393
752		0.742055		0.00151781
753		0.742906		0.00293026
754		0.743179		0.00197042
755		0.744603		0
756		0.744876		0.00135003
757		0.745126		8.58399e-05
758		0.74568		3.90181e-06
759		0.745805		0.000499432
760		0.746249		0.00223574
761		0.750335		0.00226305
762		0.751369		0.00138124
763		0.753998		0.00186507
764		0.754478		0.000628192
765		0.755891		0.000612585
766		0.759149		0.000714032
767		0.760296		0.00461585
768		0.761591		0.00284442
769		0.76268		0.0260914
770		0.780585		0.00564983
771		0.780823		0.0015022
772		0.780702		0.000366771
773		0.780699		0.00227086
774		0.781112		8.19381e-05
775		0.781748		0.00169729
776		0.783192		0.000222403
777		0.78373		0.00116274
778		0.783773		0.000191189
779		0.781748		0.000546254
780		0.781967		0.000120956
781		0.780948		0.000163876
782		0.780773		0.00238401
783		0.77968		0.00225525
784		0.778767		0.000120956
785		0.778162		4.292e-05
786		0.776305		0.000152171
787		0.778845		3.90181e-06
788		0.778603		0
789		0.779032		0
790		0.778451		0.000979355
791		0.778506		0.00221233
792		0.778045		0
793		0.77371		0.000464316
794		0.766543		0.0521048
795		0.760245		0.00145538
796		0.760628		0.00242693
797		0.760495		0.009895
798		0.759539		0.00557569
799		0.759012		0.00577469
800		0.759157		0.00737053
801		0.758903		0.00683988
802		0.758528		0.00739784
803		0.75719		0.00843963
804		0.754459		0.0090249
805		0.754252		0.0101408
806		0.754385		0.0130282
807		0.75387		0.0100082
808		0.753823		0.0113114
809		0.754065		0.0155058
810		0.754307		0.0110616
811		0.757615		0.011245
812		0.767506		0.0192281
813		0.780105		0.0212337
814		0.803095		0.0238557
815		0.812003		0.00706619
816		0.815093		0.0186039
817		0.819557		0.0122868
818		0.829011		0.00117835
819		0.831801		0.0645165
820		0.861911		0.00767097
821		0.861634		0.0075149
822		0.861591		0.00415933
823		0.865227		0.00446758
824		0.867834		0.00132662
825		0.868723		0.010492
826		0.87442		0.00631704
827		0.877003		0.00539231
828		0.876574		0.00548595
829		0.87801		0.010453
830		0.878349		0.0146045
831		0.879087		0.0108197
832		0.879941		0.00271176
833		0.881369		0.00627022
834		0.881389		0.00263763
835		0.881716		0.00088181
836		0.881756		0.00499822
837		0.881557		0.0194701
838		0.881935		0.0220335
839		0.881705		0.0244488
840		0.881927		0.0147098
841		0.882212		0.0113075
842		0.88323		0.0103632
843		0.883453		0.013391
844		0.883874		0.17367
845		0.884643		0.0260875
846		0.884756		0.0317959
847		0.885587		0.0244215
848		0.885809		0.0190292
849		0.885954		0.0216043
850		0.885837		0.00987939
851		0.886094		0.00115104
852		0.886157		0.0139685
853		0.886118		0.0211517
854		0.8862		0.0198797
855		0.886087		0.0164032
856		0.886211		0.0234811
857		0.886005		0.0325411
858		0.886184		0.0228529
859		0.886449		0.0153771
860		0.886418		0.0198993
861		0.886617		0.0129384
862		0.886481		0.00932534
863		0.886898		0.0169456
864		0.887062		0.0226422
865		0.887218		0.0225369
866		0.887335		0.0203207
867		0.8873		0.0239025
868		0.887163		0.0173787
869		0.886879		0.235954
870		0.8841		0.0176284
871		0.884686		0.0173748
872		0.885408		0.0207577
873		0.885146		0.0129657
874		0.885216		0.0249521
875		0.885431		0.0122634
876		0.885474		0.0230909
877		0.885704		0.0120839
878		0.88618		0.00792068
879		0.886504		0.0657729
880		0.885735		0.0112489
881		0.885927		0.0103515
882		0.886168		0.00444807
883		0.885735		0.00106129
884		0.885868		0.00278199
885		0.885911		0.000831087
886		0.885845		0.00286393
887		0.886118		0.00088181
888		0.886207		0.00274688
889		0.886364		4.68218e-05
890		0.886114		0.00406179
891		0.886258		0.00092473
892		0.885962		0.00453781
893		0.885977		0.00391742
894		0.885852		0.0023567
895		0.8862		3.90181e-06
896		0.886336		0.000312145
897		0.886157		3.12145e-05
898		0.886492		0
899		0.88627		0
900		0.886313		0
901		0.886184		0
902		0.886289		0
903		0.88652		0.000698425
904		0.886621		0.0512152
905		0.884534		0.0126419
906		0.884752		0.00397205
907		0.885372		0.00831087
908		0.88565		0.0149557
909		0.88533		0.0143158
910		0.885536		0.0149674
911		0.885369		0.00720665
912		0.885435		0.00951653
913		0.885911		0.0100979
914		0.886028		0.0123883
915		0.886325		0.0132076
916		0.886445		0.012677
917		0.886641		0.00438564
918		0.886508		0.0109563
919		0.88691		0.00561861
920		0.886804		0.00047212
921		0.886879		0.0042998
922		0.886894		0.00226695
923		0.887253		0.000179483
924		0.887136		0.00174801
925		0.887234		0.00217331
926		0.887405		5.07236e-05
927		0.887456		0.000148269
928		0.88737		0.000335556
929		0.887382		0.0305746
930		0.88476		0.00346091
931		0.884955		0.00174021
932		0.8854		0.00194701
933		0.885895		0.000378476
934		0.886137		0.000312145
935		0.886059		0.00376525
936		0.88657		0.0106402
937		0.886477		0.011565
938		0.886246		0.0132818
939		0.886531		0.0196378
940		0.886687		0.0181825
941		0.886668		0.018479
942		0.886406		0.015697
943		0.88593		0.0154941
944		0.885895		0.0144016
945		0.885958		0.0145967
946		0.885778		0.0125443
947		0.885739		0.0170743
948		0.885864		0.0187677
949		0.885938		0.0181942
950		0.88577		0.00820161
951		0.885763		0.014425
952		0.885802		0.0173202
953		0.885813		0.01677
954		0.885856		0.116625
955		0.886602		0.00680867
956		0.886512		0.00272737
